Date	Q1 Answer	Q2 Answer	Q3 Answer	Q4 Answer	Q5 Answer	Q6 Answer	Q7 Answer	
2018-04-03 02:44:35 Etc/GMT	Kasra Jamshidi	Vote of No Confidence	Vijender (VJ) Bakhshi	Eric Gao	Vote of No Confidence	Paymon Jalali	Dusan kovacevic	
2018-04-03 03:03:52 Etc/GMT	Kasra Jamshidi	Paul Allan	Vote of No Confidence	Eric Gao	Brendan Chan	Vote of No Confidence	Vote of No Confidence	
2018-04-03 03:27:58 Etc/GMT	Kasra Jamshidi	Trevor Gale	Vijender (VJ) Bakhshi	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-04-03 05:53:16 Etc/GMT								
2018-04-03 06:56:44 Etc/GMT	Vote of No Confidence	Trevor Gale	Vote of No Confidence	Eric Gao	Brendan Chan	Vote of No Confidence	Vote of No Confidence	
2018-04-03 10:06:26 Etc/GMT	Kasra Jamshidi	Paul Allan	Vote of No Confidence	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-04-03 15:46:37 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-04-03 15:49:43 Etc/GMT	Vote of No Confidence	Paul Allan	Vote of No Confidence	Truman Bui	Oscar Smith-Sieger	Vote of No Confidence	Vote of No Confidence	
2018-04-03 17:01:57 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Brendan Chan	Paymon Jalali	Dusan kovacevic	
2018-04-03 22:49:14 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-04-04 03:19:13 Etc/GMT	Kasra Jamshidi	Paul Allan	Vijender (VJ) Bakhshi	Eric Gao	Oscar Smith-Sieger	Paymon Jalali	Dusan kovacevic	
2018-04-04 03:24:21 Etc/GMT	Vote of No Confidence	Vote of No Confidence	Vijender (VJ) Bakhshi	Eric Gao	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	
2018-04-04 03:55:10 Etc/GMT	Kasra Jamshidi	Paul Allan	Vote of No Confidence	Eric Gao	Brendan Chan	Paymon Jalali	Vote of No Confidence	
