Date,	Q1 Answer,	Q2 Answer,	Q3 Answer,	Q4 Answer,	Q5 Answer,	Q6 Answer,	Q7 Answer,	Q8 Answer,	
2019-04-07 00:48:11 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 00:53:08 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	John Sweeney,	Dusan kovacevic,	
2019-04-07 00:53:47 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 00:57:32 Etc/GMT,	John Sweeney,	John Sweeney,	Mitchell Gale,	John Sweeney,	John Sweeney,	Shiva Sanei,	John Sweeney,	Dusan kovacevic,	
2019-04-07 01:03:51 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 01:09:52 Etc/GMT,	John Sweeney,	John Sweeney,	Michelle Soo,	John Sweeney,	John Sweeney,	Shiva Sanei,	John Sweeney,	John Sweeney,	
2019-04-07 01:10:54 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 01:14:04 Etc/GMT,	John Sweeney,	John Sweeney,	John Sweeney,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 01:14:35 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Michelle Soo,	Truman Bui,	Nikola Filipovic,	Shiva Sanei,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 01:20:18 Etc/GMT,	Kia Mirsalehi,	John Sweeney,	Mark Liu,	John Sweeney,	John Sweeney,	Gareth Moon,	Ryan Vansickle,	John Sweeney,	
2019-04-07 01:23:25 Etc/GMT,	Vote Of No Confidence,	Vote of No Confidence,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Vote of No Confidence,	
2019-04-07 01:27:30 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mark Liu,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Sarbjot Mann,	Dusan kovacevic,	
2019-04-07 01:33:22 Etc/GMT,	Kia Mirsalehi,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Ryan Vansickle,	Dusan kovacevic,	
2019-04-07 01:39:37 Etc/GMT,	Vote Of No Confidence,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Vote Of No Confidence,	Dusan kovacevic,	
2019-04-07 01:40:59 Etc/GMT,	Vote Of No Confidence,	VJ Bakhshi,	Mitchell Gale,	Truman Bui,	Nikola Filipovic,	Gareth Moon,	Vote Of No Confidence,	Dusan kovacevic,	
